name,address,id,builder,sqft,lights,covered,url,elements,pinimage,photos,latitude,longitude,group
11th Street DIY,"499 E Lower 11th St, Tacoma, WA 98421, US",11thstDIY,DIY.,"7,800sqft",No,Covered.,https://www.instagram.com/11thstdiytacoma/,Opposing wide quarter pipes bowled out on the end with pump bumps and a spine in between. Constantly evolving.,diyparkpin,11th01.jpg 11th02.jpg,47.25442596,-122.430153,WA
"4-DirectionsSkatepark-PineRidge,SD","BIA Hwy 32, Pine Ridge, SD 57770, US",4-DirectionsSkatepark-PineRidgeSD,Grindline,"6,000sqft.",N/A,N/A,https://www.grindline.com/map/,Concrete Skatepark.,grindlinepin,pineridge01.jpg,43.02589953,-102.5671478,SD
7 PRESIDENTS SKATEPARK,"465 Ocean Blvd N, Long Branch, NJ 07740, US",7PRESIDENTSSKATEPARK,Spohn Ranch,"15,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/long-branch-nj/,concrete park,spohnranchpin,7PRESIDENTSSKATEPARK01.jpg 7PRESIDENTSSKATEPARK02.jpg 7PRESIDENTSSKATEPARK03.jpg 7PRESIDENTSSKATEPARK04.jpg,40.31986984,-73.97802953,NJ
7 PRESIDENTS SKATEPARK PHASE 2,"465 Ocean Blvd N, Long Branch, NJ 07740, US",7PRESIDENTSSKATEPARKPHASE2,Spohn Ranch,"5,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/7-presidents-skatepark-phase-2/,concrete park,spohnranchpin,7PRESIDENTSSKATEPARKPHASE201.jpg 7PRESIDENTSSKATEPARKPHASE202.jpg 7PRESIDENTSSKATEPARKPHASE203.jpg,40.31984611,-73.97802851,NJ
Abenraa Skatepark,"Nyløkke 4, 6200 Aabenraa, Denmark",aabenraaDK,SNEArchitects.,"2,750.12 ft² (255.49 m²)",No,No,http://www.snearchitects.com/project/aabenraa-skate-park/\nhttp://www.skateboard.com.au/skateparks/denmark/aabenraa-skatepark/,Concrete flow bowl with street elements.,othergoodparkpin,DKaabenraa.jpg DKaabenraa1.jpg DKaabenraa2.jpg DKaabenraa3.jpg DKaabenraa4.jpg DKaabenraa5.jpg DKaabenraa6.jpg DKaabenraa7.jpg,55.061859,9.409161,DK
Aberdeen Skatepark,"E Perry St & S Dewey St, Aberdeen, WA 98520, US",aberdeen,N/A,"8,825.35 ft²",No,No,http://www.northwestskater.com/aberdeenwa.html,Concrete Skatepark.,skateparkpin,aberdeen.jpg aberdeen2.jpg,46.966893,-123.791663,WA
Adams Skatepark,"Commercial St & Morrison St, Adams, OR 97810, US",adamsOR,N/A,"2,036.52 ft²",No,No,http://www.northwestskater.com/adams.html,Concrete Skatepark.,skateparkpin,OREGONadams1.jpg OREGONadams2.jpg OREGONadams3.jpg OREGONadams4.jpg,45.768467,-118.564015,OR
Adams,"230 Morrison St, Adams, OR 97810, US",Adamsor,Dreamland.,"2,500 sqft.",N/A,N/A,https://www.dreamlandskateparks.com/oregon,N/A,dreamlandpin,adams01.jpg  adams02.jpg,45.76845902,-118.5640141,OR
Agedrup Skatepark,"Brolandvej 16, 5320 Agedrup, Denmark",Agedrup SkateparkDK,FSR,480 m²,N/A,N/A,https://fsrbeton.dk/projekter/agedrup/,Concrete Skatepark.,fsrbetonpin,agedrupfsr01.jpg,55.43022797,10.48115009,DK
Albany Skatepark,"1375 SE 6th Ave, Albany, OR 97321, US",albanyOR,N/A,"10,527.85 ft²",No,No,http://www.northwestskater.com/albanyOR.html,Concrete Skatepark.,skateparkpin,OREGONalbany1.jpg OREGONalbany2.jpg OREGONalbany3.jpg OREGONalbany4.jpg,44.635324,-123.088616,OR
Alberta Skatepark,"5225 NE Alberta St, Portland, OR 97218, US",albertaOR,Evergreen.,"3,000sqft.",No,No,http://www.northwestskater.com,Mini Flow Bowl.,evergreenpin,OREGONalberta1.jpg OREGONalberta3.jpg OREGONalberta4.jpg OREGONalberta5.jpg,45.558805,-122.60876,OR
"ALBERTON, MONTANA SKATEPARK","810 Railroad Ave, Alberton, MT 59820, US",ALBERTONMONTANASKATEPARK,Evergreen.,"5,648.16 ft²",No,No,https://www.evergreenskateparks.com/alberton-montana-skatepark,N/A,evergreenpin,alberton01.jpg alberton02.jpg alberton03.jpg alberton04.jpg alberton05.jpg,47.0018113,-114.4743964,MT
"Alex&Foussat(PrincePark)-Oceanside,CA","San Luis Rey River Trail, Oceanside, CA 92058, US",Alex&Foussat(PrincePark)-OceansideCA,Grindline.,"23,000sqft.",N/A,N/A,https://www.grindline.com/map/,Concrete Skatepark.,grindlinepin,oceansideca01.jpg oceansideca02.jpg,33.22686525,-117.3428021,CA
Alvin Skatepark Alvin,"301 E Sealy St, Alvin, TX 77511, US",alvinskateparkalvin,Newline,"9,490.38 ft²",N/A,N/A,http://www.newlineskateparks.com/project/alvin-skatepark/,Concrete,newlinepin,alvinskateparkalvin.jpg,29.4240477,-95.2423554,TX
AMBASSADOR SKATE PLAZA,"612 W E St, Los Angeles, CA 90744, US",AMBASSADORSKATEPLAZA,Spohn Ranch,"10,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/ambassador-skate-plaza/,concrete park,spohnranchpin,AMBASSADORSKATEPLAZA01.jpg AMBASSADORSKATEPLAZA02.jpg AMBASSADORSKATEPLAZA03.jpg,33.77446633,-118.2695424,CA
Ambleside Waterfront Plaza West Vancouver,"1250 Argyle Ave, West Vancouver, BC V7T 1B4, Canada",amblesidewaterfrontplazawestvancouver,Newline,"9,546.93 ft²",N/A,N/A,http://www.newlineskateparks.com/project/ambleside-waterfront-plaza/,Concrete,newlinepin,amblesidewaterfrontplazawestvancouver.jpg,49.32449559,-123.1502004,BC
Amelia Mayberry Skatepark Whittier,"13201 Meyer Rd, Whittier, CA 90605, US",ameliamayberryskateparkwhittier,Newline,"18,465.26 ft²",N/A,N/A,http://www.newlineskateparks.com/project/amelia-mayberry-skatepark/,Concrete,newlinepin,ameliamayberryskateparkwhittier.jpg,33.92966563,-118.0507849,CA
Amherst Skate Plaza Amherst,"185 Church St, Amherst, NS B4H 3Z5, Canada",amherstskateplazaamherst,Newline,"9,160.04 ft²",N/A,N/A,http://www.newlineskateparks.com/project/amherst-skate-plaza/,Concrete,newlinepin,amherstskateplazaamherst.jpg,45.82664056,-64.1998213,NS
Anaconda Skatepark,"Monroe St & E Park Ave, Anaconda, MT 59711, US",anacondaMT,Dreamland.,"5,700sqft.",No,No,http://www.dreamlandskateparks.com/montana\nhttp://www.northwestskater.com/anaconda.html,Concrete Skatepark.,dreamlandpin,MONTANAanaconda.jpg MONTANAanaconda1.jpg MONTANAanaconda2.jpg,46.125998,-112.935345,MT
Anacortes Skatepark,"R Ave & 23rd St, Anacortes, WA 98221, US",anacortes,N/A,"7,571.93 ft²",No,No,http://www.northwestskater.com/anacortes.html,Concrete Skatepark. Close to Orcas Island Ferry. Pump track.,grindlinepin,anacortesnew.jpg anacortes01.jpg anacortes02.jpg anacortes03.jpg anacortes04.jpg,48.503291,-122.608942,WA
Antwerp Belgium – Street,"d'Arconatistraat 3, 1700 Dilbeek, Belgium",antwerp,Team Pain,"10,000sqft.",N/A,N/A,https://teampain.com/projects/antwerp-belgium-street-2/,Concrete Skatepark.,teampainpin,antwerp01.jpg,50.84965891,4.259409049,BE
"Apex, NC","1250 Ambergate Station, Apex, NC 27502, US",apexnc,Team Pain,"20,000sqft.",N/A,N/A,https://teampain.com/projects/apex-nc/,Concrete Skatepark.,teampainpin,apex01.jpg,35.73590439,-78.84830292,NC
Apollo Beach Skatepark,"664 Golf & Sea Blvd, Apollo Beach, FL 33572, US",apollo,Team Pain,"11,000sqft.",N/A,N/A,https://teampain.com/projects/apollo-beach-skatepark/,Concrete Skatepark.,teampainpin,apollo01.jpg,27.76474384,-82.41162874,FL
Aptos Seacliff Park,"McGregor Dr & Canterbury Dr, Seacliff, CA 95003, US",aptos,Dreamland.,"4,200 sqft.",N/A,N/A,https://www.dreamlandskateparks.com/california,Privately Funded through the generous donations of Richard Novak and Rowland Rebele.  Construction Collaboration with Bredy Construction,dreamlandpin,aptos01.jpg,36.97650728,-121.9123249,CA
Arena Assens,"Arena Assens, Rådhus Allé 25, 5610 Assens, Denmark",Arena AssensDK,FSR,180 m²,N/A,N/A,https://fsrbeton.dk/projekter/arena-assens/,Concrete Skatepark.,fsrbetonpin,arenaassensfsr01.jpg,55.26454779,9.894654841,DK
Arlington Skatepark,"18501 59th Ave NE, Arlington, WA 98223, US",arlington,Grindline.,"8,500sqft.",No,No,https://www.grindline.com/map/,"Large flow bowl with end capped full pipe, and a street section.",grindlinepin,arlington.jpg arlington2.jpg,48.166223,-122.150614,WA
"Arlington, VA","6020 Wilson Blvd, Arlington, VA 22205, US",arlingtonva,Team Pain,"16,300sqft.",N/A,N/A,https://teampain.com/projects/arlington-va/,Concrete Skatepark.,teampainpin,arlingtonva01.jpg,38.87342997,-77.13935838,VA
ARMADA SKATE & BIKE PARK,"75400 North Ave, Armada, MI 48005, US",ARMADASKATEBIKEPARK,Spohn Ranch,"6,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/armada-skate-bike-park/,concrete park,spohnranchpin,ARMADASKATEBIKEPARK01.jpg ARMADASKATEBIKEPARK02.jpg ARMADASKATEBIKEPARK03.jpg,42.85132257,-82.88302925,MI
Arovista Skatepark Brea,"500 W Elm St, Brea, CA 92821, US",arovistaskateparkbrea,Newline,"9,694.12 ft²",N/A,N/A,http://www.newlineskateparks.com/project/arovista-skatepark/,Concrete,newlinepin,arovistaskateparkbrea.jpg,33.91354206,-117.9071513,CA
ARTHUR JOHNSON SKATEPARK,"1235 W 170th St, Gardena, CA 90247, US",ARTHURJOHNSONSKATEPARK,Spohn Ranch,"7,000 ft²",NO,N/A,https://www.spohnranch.com/portfolio/arthur-johnson-skatepark-2/,concrete park,spohnranchpin,ARTHURJOHNSONSKATEPARK01.jpg ARTHURJOHNSONSKATEPARK02.jpg,33.8763281,-118.2961183,CA
ARTIVIO GUERRERO PARK,"5955 Lemon Park Way, Sacramento, CA 95824, US",ARTIVIOGUERREROPARK,Spohn Ranch,"3,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/artivio-guerrero-park/,concrete park,spohnranchpin,ARTIVIOGUERREROPARK01.jpg ARTIVIOGUERREROPARK02.jpg,38.51759379,-121.4343953,CA
"Arvada, CO","12920 W 72nd Ave, Arvada, CO 80005, US",arvada,Team Pain,"40,000sqft.",N/A,N/A,https://teampain.com/projects/arvada-co/,Concrete Skatepark.,teampainpin,arvada01.jpg,39.82654964,-105.1437808,CO
Ashland Skatepark,"Water St & E Hersey St, Ashland, OR 97520, US",ashlandOR,N/A,"11,248.94 ft²",No,No,http://www.northwestskater.com/ashland.html,Concrete Skatepark.,skateparkpin,OREGONashland1.jpg OREGONashland2.jpg OREGONashland3.jpg,42.201721,-122.71288,OR
Aspen’s Rio Grande Skatepark in Colorado,"501 Rio Grande Pl, Aspen, CO 81611, US",aspen,Team Pain,"17,000sqft.",N/A,N/A,https://teampain.com/projects/rio-grande-skatepark/,Concrete Skatepark.,teampainpin,aspen01.jpg,39.19179817,-106.8169743,CO
Astoria Skatepark,"900 W Marine Dr, Astoria, OR 97103, US",astoriaOR,Dreamland.,"12,000sqft.",No,No,http://www.northwestskater.com/astoria.html,Concrete Skatepark.,dreamlandpin,OREGONastoria1.jpg OREGONastoria2.jpg,46.178727,-123.851405,OR
"AthensSkatepark-Athens,OH","Hockhocking Adena Bikeway, Athens, OH , US",AthensSkatepark-AthensOH,Grindline,"13,000sqft",N/A,N/A,https://www.grindline.com/map/,Concrete Skatepark.,grindlinepin,athensga01.jpg,39.33562424,-82.0758377,OH
"Atlantic Beach Skatepark - Atlantic Beach, NC","915 W Fort Macon Rd, Atlantic Beach, NC 28512, US",atlanticnc,artisan,"16,000sqft.",no,no,https://www.artisanskateparks.com/atlantic-beach-skatepark-atlantic-beach-nc,Concrete,artisanpin,atlanticbeachnc01.jpg atlanticbeachnc02.jpg atlanticbeachnc03.jpg,34.69960081,-76.75104454,NC
All Together Skatepark,"3500 Stone Way N, Seattle, WA 98103, US",ats,N/A,"3,574.05 ft²",Lights.,Covered.,http://www.alltogetherskatepark.com/,"Indoor Street Park with concrete floors, wood ramps and a mini half pipe. $10 / session, $5 after 7pm, Old man night Sundays, Ladies night Monday.",woodparklightspin,ats.jpg ats2.jpg,47.6495913,-122.3422453,WA
Auburn Skatepark,"28th St NE & J St NE, Auburn, WA 98002, US",auburn,N/A,"8,526.31 ft²",No,No,http://www.northwestskater.com/auburn.html,Concrete Skatepark.,skateparkpin,auburn.jpg auburn2.jpg,47.332126,-122.216263,WA
Aumsville Skatepark,"8773 Mill Creek Rd SE, Aumsville, OR 97325, US",aumsvilleOR,N/A,"10,000sqft.",No,No,http://www.northwestskater.com/aumsville.html,Concrete Skatepark.,othergoodparklightspin,OREGONaumsville1.jpg OREGONaumsville2.jpg OREGONaumsville3.jpg,44.840341,-122.878079,OR
"AztecSkatepark-Aztec,NM","600 Llano St, Aztec, NM 87410, US",AztecSkatepark-AztecNM,Grindline,"7,500sqft.",N/A,N/A,https://www.grindline.com/map/,Concrete Skatepark.,grindlinepin,aztec01.jpg,36.81903467,-108.0052255,NM
BAILEY PARK SKATEPARK,"Bailey Park, 1220 Prairie St, Grinnell, IA 50112, US",BAILEYPARKSKATEPARK,Spohn Ranch,"5,500 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/bailey-park-skatepark/,concrete park,spohnranchpin,BAILEYPARKSKATEPARK01.jpg BAILEYPARKSKATEPARK02.jpg BAILEYPARKSKATEPARK03.jpg,41.74880078,-92.73577534,IA
Bainbridge Island Skatepark,"High School Rd NE, Bainbridge Island, WA 98110, US",bainbridge,Grindline.,"12,000sqft.",No,No,https://www.grindline.com/map/,One giant flow bowl.,grindlinepin,bainbridge.jpg bainbridge2.jpg,47.638316,-122.54922,WA
Baker City Skatepark,"500 Baker St, Baker City, OR 97814, US",bakercityOR,N/A,"6,857.87 ft²",No,No,http://www.northwestskater.com/bakercity.html,Concrete Skatepark.,skateparkpin,OREGONbakercity1.jpg OREGONbakercity2.jpg OREGONbakercity3.jpg,44.779592,-117.812239,OR
"BakersfieldSkateparkExpansion–Bakersfield,CA","Kern River Parkway Bike Trail, Bakersfield, CA 93301, US",BakersfieldSkateparkExpansion–BakersfieldCA,Grindline.,"18,000sqft.",N/A,N/A,https://www.grindline.com/map/,Concrete Skatepark.,grindlinepin,bakersfield01.jpg,35.41572611,-119.0395763,CA
Ballard Bowl,"5701 22nd Ave NW, Seattle, WA 98107, US",ballard,Grindline.,"5,000sqft.",No,No,http://www.seattle.gov/parks/park_detail.asp?ID=4278,Bowl with foot tall quarter pipes hipped out on the decks.,grindlinepin,ballard.jpg ballard2.jpg,47.670471,-122.385666,WA
"Skatepark of Baltimore - Baltimore, MD","1201 W 36th St, Baltimore, MD 21211, US",Baltimoremd,artisan,"18,000sqft.",no,no,https://www.artisanskateparks.com/skatepark-of-baltimore-baltimore-md,Concrete,artisanpin,baltimoremd01.jpg baltimoremd02.jpg,39.32998325,-76.63598838,MD
Banff National Park Skatepark Banff,"191 Sundance Rd, Banff, AB T0L, Canada",banffnationalparkskateparkbanff,Newline,"15,299.63 ft²",N/A,N/A,http://www.newlineskateparks.com/project/banff-national-park-skatepark/,Concrete,newlinepin,banffnationalparkskateparkbanff.jpg,51.17391836,-115.5797215,AB
Banksia Grove Banksia Grove,"Grandis Park, 2 Grandis Blvd, Banksia Grove WA 6031, Australia",banksiagrovebanksiagrove,Newline,"9,194.45 ft²",N/A,N/A,http://www.newlineskateparks.com/project/banksia-grove-skatepark-2/,Concrete,newlinepin,banksiagrovebanksiagrove.jpg,-31.69568803,115.7946948,AU
BarS DIY,"6425 SW Admiral Wy, Seattle, WA 98116, US",bars,DIY.,"12,000sqft.",No,No,https://www.seattle.gov/parks/find/parks/bar-s-playground,"Punk jersey barrier in a 12,000 sqft., relatively rough parking lot.",diyparkpin,bars01.jpg,47.57485745,-122.4155682,WA
Battleground Skatepark,"912 E Main St, Battle Ground, WA 98604, US",battleground,Grindline.,"27,000sqft.",Lights.,No,https://www.grindline.com/map/,"Flow bowl with football helmet feature, right hand kidney pool, and large street section.",grindlinelightspin,battleground.jpg battleground2.jpg battleground3.jpg battlground4.jpg battleground5.jpg,45.781776,-122.528221,WA
Bay City Ken Downie Skatepark,"413 Marquette Ave, Bay City, MI 48706, US",Baycitykendownnie,Dreamland.,"6,000 sqft.",N/A,N/A,https://www.dreamlandskateparks.com/oregon,N/A,dreamlandpin,baycity01.jpg,43.61007128,-83.89215722,OR
Bay City Skatepark,"A St, Bay City, OR 97107, US",baycityOR,Dreamland.,"6,000sqft.",No,No,http://www.dreamlandskateparks.com/oregon\nhttps://www.facebook.com/Dreamland-Skateparks-312289202195185/,Street Elements with Quarter Piipes on either end.,dreamlandpin,OREGONbaycity1.png OREGONbaycity2.jpg OREGONbaycity3.jpg OREGONbaycity4.jpg,45.525469,-123.89143,OR
BAY COUNTY SKATEPARK,"530 Jenks Ave, Panama City, FL 32401, US",BAYCOUNTYSKATEPARK,Spohn Ranch,"20,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/bay-county-skatepark/,concrete park,spohnranchpin,BAYCOUNTYSKATEPARK01.jpg BAYCOUNTYSKATEPARK02.jpg BAYCOUNTYSKATEPARK03.jpg BAYCOUNTYSKATEPARK04.jpg,30.1582319,-85.66221339,FL
BAYSWATER PARK SKATEPARK,"Falcon Ave & Bay 32 St, , NY 11691, US",BAYSWATERPARKSKATEPARK,Spohn Ranch,"11,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/bayswater-skatepark/,concrete park,spohnranchpin,BAYSWATERPARKSKATEPARK01.jpg BAYSWATERPARKSKATEPARK02.jpg,40.60003456,-73.76784239,NY
Beautiful Mountain Skate Plaza Beaumont,"999 Laurel Ave, Beaumont, TX 77701, US",beautifulmountainskateplazabeaumont,Newline,"9,609.41 ft²",N/A,N/A,http://www.newlineskateparks.com/project/beautiful-mountain-skate-plaza/,Concrete,newlinepin,beautifulmountainskateplazabeaumont.jpg,30.082748,-94.1038281,TX
Beaverton Skatepark,"15707 SW Walker Rd, Beaverton, OR 97006, US",beavertonOR,Dreamland.,"4,500sqft.",No,No,http://www.northwestskater.com,Concrete Skatepark.,dreamlandpin,OREGONbeaverton1.jpg OREGONbeaverton2.jpg OREGONbeaverton3.jpg OREGONbeaverton4.jpg,45.523018,-122.837817,OR
"BELDING, MICHIGAN SKATEPARK","314 Gibson St, Belding, MI 48809, US",BELDINGMICHIGANSKATEPARK,Evergreen.,"2,764.88 ft²",No,No,https://www.evergreenskateparks.com/belding,N/A,evergreenpin,belding01.jpg belding02.jpg belding03.jpg belding04.jpg belding05.jpg,43.09926191,-85.23163411,MI
Belgrade,"283 E Main St, Belgrade, MT 59714, US",belgrade,Dreamland.,"3,290 sqft.",N/A,N/A,https://www.dreamlandskateparks.com/montana,N/A,dreamlandpin,belgrade01.jpg belgrade02.jpg belgrade03.jpg,45.77478474,-111.1729083,MT
Bellevue Indoor,"14224 Bel-Red Rd, Bellevue, WA 98007, US",bellevueindoor,N/A,"6,204.74 ft²",Lights.,Covered.,https://www.facebook.com/bellevueskate/,"Indoor Street Park including a mini 6ft half pipe, ledges, banks, hubbas, and pool coping on one of the quarter pipes.",woodparklightspin,bellevueindoor.jpg bellevue2.jpg bellevue3.jpg,47.62569,-122.150901,WA
Bellingham Skatepark,"1400 Puget St, Bellingham, WA 98229, US",bellingham,Grindline.,"10,000sqft.",No,No,https://www.grindline.com/map/,Deep Flow bowl and street section. Remnants of the old janky park still exist.,grindlinepin,bellingham.jpg bellingham2.jpg bellingham3.jpg,48.746756,-122.455208,WA
BELMONT SKATEPARK,"1401 E Catawba St, Belmont, NC 28012, US",BELMONTSKATEPARK,Spohn Ranch,6500 ft²,N/A,N/A,https://www.spohnranch.com/portfolio/belmont-skatepark/,concrete park,spohnranchpin,BELMONTSKATEPARK01.jpg BELMONTSKATEPARK02.jpg BELMONTSKATEPARK03.jpg,35.24305289,-81.01755884,NC
BEMIDJI SKATE PLAZA,"1504 23rd St NW #1334, Bemidji, MN 56601, US",BEMIDJISKATEPLAZA,Spohn Ranch,"14,000 ft²",NO,N/A,https://www.spohnranch.com/portfolio/bemidji-skate-plaza/,concrete park,spohnranchpin,BEMIDJISKATEPLAZA01.jpg BEMIDJISKATEPLAZA02.jpg,47.48999488,-94.89728271,MN
Bend Skatepark 1,"1320 SE Armour Rd, Bend, OR 97702, US",bend1OR,N/A,"11,806.07 ft²",No,No,http://www.northwestskater.com/bendold.html,Concrete Skatepark.,skateparkpin,OREGONbendold1.jpg OREGONbendold2.jpg OREGONbendold3.jpg,44.048006,-121.28598,OR
Bend Skatepark 2,"1411 SE Wilson Ave, Bend, OR 97702, US",bend2OR,N/A,"15,446.55 ft²",No,No,http://www.northwestskater.com/bendnew.html,Concrete Skatepark.,othergoodparkpin,OREGONbendnew1.jpg OREGONbendnew2.jpg OREGONbendnew3.jpg OREGONbendnew4.jpg OREGONbendnew5.jpg OREGONbendnew6.jpg OREGONbendnew7.jpg,44.044562,-121.285199,OR
BENITO JUAREZ PARK SKATE SPOT,"Benito Juárez Park, 5515 Maywood Ave, Maywood, CA 90270, US",BENITOJUAREZPARKSKATESPOT,Spohn Ranch,"1,800 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/benito-juarez-park-skate-spot/,concrete park,spohnranchpin,BENITOJUAREZPARKSKATESPOT01.jpg BENITOJUAREZPARKSKATESPOT02.jpg,33.99237919,-118.20389,CA
BETHUNE POINT SKATEPARK,"15 Fremont Ct, Daytona Beach, FL 32114, US",BETHUNEPOINTSKATEPARK,Spohn Ranch,"16,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/bethune-point-skatepark/,concrete park,spohnranchpin,BETHUNEPOINTSKATEPARK01.jpg BETHUNEPOINTSKATEPARK02.jpg BETHUNEPOINTSKATEPARK03.jpg,29.19903259,-81.00866773,FL
BETSY HEAD SKATEPARK,"Betsy Head Park, Dumont Ave, , NY 11212, US",BETSYHEADSKATEPARK,Spohn Ranch,"7,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/betsy-head-skatepark/,concrete park,spohnranchpin,BETSYHEADSKATEPARK01.jpg BETSYHEADSKATEPARK02.jpg,40.66489943,-73.91170015,NY
Biersted Skatepark,"Idrætsvej 15, 9440 Aabybro, Denmark",Biersted SkateparkDK,FSR,450 m²,N/A,N/A,https://fsrbeton.dk/projekter/biersted/,Concrete Skatepark.,fsrbetonpin,bierstedfsr01.jpg,57.14715822,9.811320763,DK
Big Sandy Skatepark,"4th St, Big Sandy, MT 59520, US",bigsandyMT,Evergreen.,"5,000sqft.",No,No,http://evergreenskateparks.com/big-sandy-montana-phase-2,Two large adjacent bowls.,evergreenpin,bigsandyMT01.jpg bigsandyMT02.jpg bigsandyMT03.jpg,48.17359253,-110.1115311,MT
"BIG SANDY PHASE 2, MONTANA","1086 4th St, Big Sandy, MT 59520, US",BIGSANDYPHASE2MONTANA,Evergreen.,"4,034.13 ft²",No,No,https://www.evergreenskateparks.com/big-sandy-montana-skatepark-phase-2,N/A,evergreenpin,bigsandy01.jpg,48.17359082,-110.1115232,MT
Big Sky Skatepark,"373 Little Coyote Rd, Big Sky, MT 59716, US",bigskyMT,Dreamland.,"6,800sqft.",No,No,http://www.dreamlandskateparks.com/montana,Concrete Skatepark.,dreamlandpin,MONTANAbigsky.jpg MONTANAbigsky2.jpg MONTANAbigsky4.jpg MONTANAbigsky6.jpg MONTANAbigsky8.jpg MONTANAbigsky1.jpg MONTANAbigsky3.jpg MONTANAbigsky5.jpg MONTANAbigsky7.jpg MONTANAbigsky9.jpg,45.271088,-111.288594,MT
Billeshave Efterskole,"Billeshavevej 51, 5500 Middelfart, Denmark",Billeshave EfterskoleDK,FSR,350 m²,N/A,N/A,https://fsrbeton.dk/projekter/billeshave-efterskole/,Concrete Skatepark.,fsrbetonpin,billeshavefsr01.jpg,55.53636069,9.80284895,DK
Bingen Skatepark,"W Humboldt St & Willow St, Bingen, WA 98605, US",bingen,Grindline.,"6,000sqft.",No,No,https://www.grindline.com/map/,Concrete Skatepark.,grindlinepin,bingen.jpg bingen2.jpg bingen3.jpg,45.717061,-121.470638,WA
Birmingham Citywalk Skatepark Birmingham,"1706 9th Ave N, Birmingham, AL 35203, US",birminghamcitywalkskateparkbirmingham,Newline,"56,000sqft.",N/A,Yes,http://www.newlineskateparks.com/project/birmingham-al-citywalk-skatepark/,Concrete,newlinepin,birminghamcitywalkskateparkbirmingham.jpg,33.52093825,-86.81556781,AL
Bjerringbro Byrum,"Niels Due Jensens Plads, Grønnegade 22D, 8850 Bjerringbro, Denmark",Bjerringbro ByrumDK,FSR,970 m²,N/A,N/A,https://fsrbeton.dk/projekter/bjerringbro-2/,Concrete Skatepark.,fsrbetonpin,bjerringbrofsr01.jpg,56.37643921,9.65614251,DK
Blackfalds Optimist Skatepark Blackfalds,"4501 Womacks Rd Unit 3, Blackfalds, AB T0M 0J0, Canada",blackfaldsoptimistskateparkblackfalds,Newline,"7,938.85 ft²",N/A,N/A,http://www.newlineskateparks.com/project/1383/,Concrete,newlinepin,blackfaldsoptimistskateparkblackfalds.jpg,52.38258826,-113.8101036,AB
Black Market Skatespot,"Parking lot, 2404 7th Ave, Seattle, WA 98121, US",blackmarket,DIY.,307.54 ft²,Lights.,No,https://blackmarketskates.com,"8ft long, 2ft tall, 2ft wide red concrete street ledge with small transition up one side, and a rad skate shop with music.",spotpin,blackmarket.jpg blackmarket2.jpg,47.618383,-122.342797,WA
"Blanchard Woods Skatepark - Columbia County, GA","4600 Blanchard Woods Dr, Evans, GA 30809, US",Blanchardga,artisan,"15,000sqft.",no,no,https://www.artisanskateparks.com/blanchard-woods-skatepark-columbia-county-ga,Concrete,artisanpin,columbiacountyga01.jpg columbiacountyga02.jpg columbiacountyga03.jpg,33.5550928,-82.17678828,GA
Bloomington,"North Cascades Skatepark, 2602 N Kinser Pike, Bloomington, IN 47404, US",Bloomington,Dreamland,"11,000 sqft.",N/A,N/A,https://www.dreamlandskateparks.com/the-past,N/A,dreamlandpin,bloomington01.jpg bloomington02.jpg,39.19238195,-86.5369236,IN
BLUEBONNET SKATEPARK,"2890 N Veterans Blvd, Eagle Pass, TX 78852, US",BLUEBONNETSKATEPARK,Spohn Ranch,"8,500 ft²",YES,N/A,https://www.spohnranch.com/portfolio/eagle-pass-skatepark/,concrete park,spohnranchlightspin,BLUEBONNETSKATEPARK01.jpg BLUEBONNETSKATEPARK02.jpg BLUEBONNETSKATEPARK03.jpg,28.73840722,-100.4903067,TX
"Bluffton Skatepark - Beaufort, SC","905 Buckwalter Pkwy, Bluffton, SC 29910, US",Blufftonsc,artisan,"13,000sqft.",no,no,https://www.artisanskateparks.com/bluffton-skatepark-beaufort-sc,Concrete,artisanpin,beaufortmd01.jpg beaufortmd02.jpg,32.24894692,-80.90432138,SC
Bolbro Skatepark,"Christmas Møllers Vej 17, 5200 Odense, Denmark",Bolbro SkateparkDK,FSR,25 m²,N/A,N/A,https://fsrbeton.dk/projekter/bolbro/,Concrete Skatepark.,fsrbetonpin,bolbrofsr01.jpg,55.39599478,10.35330043,DK
"Bologna, Italy","Via Romita, 2, 40128 Bologna BO, Italy",bologna,Dreamland,10000 sqft.,N/A,N/A,https://www.dreamlandskateparks.com/the-past,N/A,dreamlandpin,bologna01.jpg bologna02.jpg,44.53005989,11.36932939,IT
Bond Skatepark,"213 E Randolph St, Mason, MI 48854, US",bondjames,Team Pain,"12,000sqft.",N/A,N/A,https://teampain.com/projects/bond-skatepark/,Concrete Skatepark.,teampainpin,bond01.jpg,42.5836822,-84.44010948,MI
